task,model,feature_set,n_features,contract_n_features,n_folds,accuracy_mean,accuracy_sd,balanced_acc_mean,balanced_acc_sd,macro_f1_mean,macro_f1_sd,pooled_macro_f1,worst_fold_macro_f1,best_fold_macro_f1,standardise
binary,rf,all,36,36,15,0.9195840235183163,0.07760596986231377,0.8826240065378209,0.13714501530728976,0.8839765513299519,0.13213406596444813,0.9002080000515388,0.6037833635656906,0.9940562272227685,baseline
binary,rf,clean,32,36,15,0.9252178442621397,0.07532576239124963,0.894271889671797,0.13402841972665874,0.8929236044071893,0.12782812870701846,0.9083243624912398,0.6156682027649769,0.9971091573755078,baseline
binary,rf,eda_only,10,36,15,0.8832651579367027,0.08216357417882604,0.8455961931610734,0.13965958161229922,0.8393490172987483,0.13305957840332666,0.8557606432016858,0.5599514176489327,1.0,baseline
binary,rf,time_only,1,36,15,0.9556743479443097,0.050628724858253316,0.9603333539765646,0.045818733415310856,0.9495475660170516,0.057044189517173834,0.9483136881970686,0.849459347389238,1.0,baseline
binary,rf,clean_plus_time,33,36,15,0.9636957017430982,0.05441791462749836,0.9502194536045478,0.08573603927284541,0.9521305497140058,0.07812978813278589,0.9564667953719654,0.7240614725896475,1.0,baseline
3class,rf,all,36,36,15,0.8124436701759391,0.09874595299006711,0.6993875187131284,0.13264510799399384,0.6858843528823135,0.1388994258688478,0.7197517305871078,0.41892536590309654,0.9467592592592592,baseline
3class,rf,clean,32,36,15,0.8219810260476361,0.07147257939412033,0.7071686721484501,0.1157033666188078,0.6935419317004811,0.12910375721732412,0.7230532766954676,0.4485795158222919,0.8903847612545985,baseline
3class,rf,eda_only,10,36,15,0.7517841196550955,0.08618064706493768,0.6156777734387878,0.09997857097792157,0.5795143859726434,0.09748674928966578,0.6171140715193286,0.4264827995255042,0.7853435228692608,baseline
3class,rf,time_only,1,36,15,0.9285932105667919,0.07282338986729292,0.9026558342051155,0.1064760222653431,0.8923236863953881,0.11176760285766446,0.8915572992270726,0.686236746812715,1.0,baseline
3class,rf,clean_plus_time,33,36,15,0.9369571710600085,0.06472864388196098,0.9059623864325236,0.08207960506754296,0.9013185515372698,0.09569391791805774,0.9029879376955706,0.6511872895906906,0.9766734279918864,baseline
